date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:53	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Mar%202025%2012:58:49%20GMT	https://www.creativity-evolution.lol/robots.txt		(from )
19:58:53	5594/5594	---MCZ	200	added ('OK')	text/html	etag:W/%2228b57629d421222bb80931c22ed26619%22	https://www.creativity-evolution.lol/	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/index.html	(from )
19:58:53	395682/395682	---M--	200	added ('OK')	image/png	etag:%22eac00db0db78fbe0aa213d9c784079d2%22	https://www.creativity-evolution.lol/images/head.png	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/head.png	(from https://www.creativity-evolution.lol/)
19:58:54	10224/10224	---MCZ	200	added ('OK')	text/css	etag:W/%22692ed84d80066a2f0d2cfaaa979a31bf%22	https://www.creativity-evolution.lol/css/index.css	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/css/index.css	(from https://www.creativity-evolution.lol/)
19:58:54	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22847da8fca8060ca1a70f976aab1210b9%22	https://www.creativity-evolution.lol/css/aos.css	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/css/aos.css	(from https://www.creativity-evolution.lol/)
19:58:54	29130/29130	---M--	200	added ('OK')	image/png	etag:%2275aa3f12dee69d42d8eee0820fe750d9%22	https://www.creativity-evolution.lol/images/arrow.png	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/arrow.png	(from https://www.creativity-evolution.lol/)
19:58:55	341412/341412	---M--	200	added ('OK')	image/jpeg	etag:%224bec37e7c5afcd90ef73a6314d0c0983%22	https://www.creativity-evolution.lol/images/bg.jpg	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/bg.jpg	(from https://www.creativity-evolution.lol/)
19:58:56	133789/133789	---M--	200	added ('OK')	image/png	etag:%22ef6d6b98db3fd2aea87076b0851da03b%22	https://www.creativity-evolution.lol/images/ab.png	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/ab.png	(from https://www.creativity-evolution.lol/)
19:58:56	172389/172389	---M--	200	added ('OK')	image/jpeg	etag:%227acfc6813007b6043044c302bd1c4a7d%22	https://www.creativity-evolution.lol/images/m1.jpeg	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/m1.jpeg	(from https://www.creativity-evolution.lol/)
19:58:57	69643/69643	---M--	200	added ('OK')	image/png	etag:%2228e2fe68ee3f898c71ce7c000a17594b%22	https://www.creativity-evolution.lol/images/telegram.png	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/telegram.png	(from https://www.creativity-evolution.lol/)
19:58:57	118980/118980	---M--	200	added ('OK')	image/jpeg	etag:%2214735218c9ee24342cc0f6263348395a%22	https://www.creativity-evolution.lol/images/m2.jpeg	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/m2.jpeg	(from https://www.creativity-evolution.lol/)
19:58:58	252538/252538	---M--	200	added ('OK')	image/jpeg	etag:%22f2f1a3c4b1cf4e40b4dd1bc22d245366%22	https://www.creativity-evolution.lol/images/m4.jpeg	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/m4.jpeg	(from https://www.creativity-evolution.lol/)
19:58:59	111448/111448	---M--	200	added ('OK')	image/png	etag:%22c1c35c200c041086f0a4f4dc25015d1d%22	https://www.creativity-evolution.lol/images/whitex.png	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/whitex.png	(from https://www.creativity-evolution.lol/)
19:58:59	342725/342725	---M--	200	added ('OK')	image/png	etag:%226949e66eab26367b3f6df57498dba37f%22	https://www.creativity-evolution.lol/images/howtobuy%20-%20Copy.png	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/howtobuy%20-%20Copy.png	(from https://www.creativity-evolution.lol/)
19:58:59	188384/188384	---M--	200	added ('OK')	image/jpeg	etag:%22810af9e5beb2d35f669385f2da61bfe2%22	https://www.creativity-evolution.lol/images/m5.jpeg	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/m5.jpeg	(from https://www.creativity-evolution.lol/)
19:58:59	120342/120342	---M--	200	added ('OK')	image/jpeg	etag:%220b329388d1e9746d3fd682a4ed3efd2a%22	https://www.creativity-evolution.lol/images/m3.jpeg	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/m3.jpeg	(from https://www.creativity-evolution.lol/)
19:59:00	392623/392623	---M--	200	added ('OK')	image/jpeg	etag:%2277931d5f4b93d0f17ac72142d835fecd%22	https://www.creativity-evolution.lol/images/m6.jpeg	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/m6.jpeg	(from https://www.creativity-evolution.lol/)
19:59:00	68564/68564	---M--	200	added ('OK')	image/jpeg	etag:%2256b4ea01718738d40a263c50d0b9b18d%22	https://www.creativity-evolution.lol/images/m7.jpeg	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/m7.jpeg	(from https://www.creativity-evolution.lol/)
19:59:00	152717/152717	---M--	200	added ('OK')	image/jpeg	etag:%22b8ca240582b441c6a4dec33335e12270%22	https://www.creativity-evolution.lol/images/m8.jpeg	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/images/m8.jpeg	(from https://www.creativity-evolution.lol/)
19:59:00	14690/14690	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d3718e34eeb0355be8e3179a2e2bccb7%22	https://www.creativity-evolution.lol/js/aos.js	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/js/aos.js	(from https://www.creativity-evolution.lol/)
19:59:01	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Mar%202025%2012:58:57%20GMT	https://www.creativity-evolution.lol/mondo.png	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/mondo.12.delayed	(from https://www.creativity-evolution.lol/)
19:59:01	20372/20372	---MCZ	200	added ('OK')	font/otf	etag:W/%222c9634f5e4c840edcb82b59a5cca0228%22	https://www.creativity-evolution.lol/fonts/Potato_sans-Black.otf	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/fonts/Potato_sans-Black.otf	(from https://www.creativity-evolution.lol/css/index.css)
19:59:02	41420/41420	---MCZ	200	added ('OK')	font/ttf	etag:W/%22c70de78e7536fac5d064c718ca301ae2%22	https://www.creativity-evolution.lol/fonts/Mabook.ttf	C:/My%20Web%20Sites/clone123/www.creativity-evolution.lol/fonts/Mabook.ttf	(from https://www.creativity-evolution.lol/css/index.css)
